game_date,pitcher,batter,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,balls,strikes,outs_when_up,inning,inning_topbot,on_1b,on_2b,on_3b,bat_score,fld_score,stand,p_throws,home_team,away_team,at_bat_number,pitch_number
2025-10-05,686973,502671,KC,89.1,2545,0.28,-0.73,0.1474214959411514,1.8442277913850496,0,1,2,8,Top,,,,7,13,R,R,TOR,NYY,74,2
2025-10-05,686973,502671,FF,98.1,2302,-0.67,1.25,-0.44791909626852,2.1856865288735228,0,0,2,8,Top,,,,7,13,R,R,TOR,NYY,74,1
2025-10-05,686973,683011,KC,89.5,2497,0.35,-0.12,0.6789580715472108,2.0253755882077975,3,2,1,8,Top,,,,7,13,R,R,TOR,NYY,73,6
2025-10-05,686973,683011,FF,100.0,2285,-0.65,1.21,1.102323924027698,1.8981143268144107,2,2,1,8,Top,,,,7,13,R,R,TOR,NYY,73,5
2025-10-05,686973,683011,KC,88.8,2700,0.66,-0.39,0.82368632443324,1.925160846628705,2,1,1,8,Top,,,,7,13,R,R,TOR,NYY,73,4
2025-10-05,686973,683011,KC,88.3,2669,0.49,-0.44,0.8999278258947547,2.0637510968067465,1,1,1,8,Top,,,,7,13,R,R,TOR,NYY,73,3
2025-10-05,686973,683011,KC,88.8,2443,0.39,-0.38,0.850920249341754,2.12814230819236,1,0,1,8,Top,,,,7,13,R,R,TOR,NYY,73,2
2025-10-05,686973,683011,SL,95.1,2411,0.07,0.88,1.4709412274472078,1.9654316562041303,0,0,1,8,Top,,,,7,13,R,R,TOR,NYY,73,1
2025-10-05,686973,641857,CH,93.0,1664,-0.99,0.0,-0.0892531210158752,1.3411767605622922,1,0,0,8,Top,,,,7,13,L,R,TOR,NYY,72,2
2025-10-05,686973,641857,SI,98.3,2257,-1.07,1.23,-0.7125443607045066,3.739392742374044,0,0,0,8,Top,,,,7,13,L,R,TOR,NYY,72,1
2025-10-05,701542,664770,FF,93.1,2365,-0.63,1.31,0.3714804689282077,3.710847370604737,2,2,2,7,Bot,,,543807,13,7,L,R,TOR,NYY,71,6
2025-10-05,701542,664770,FF,93.8,2421,-0.54,1.18,-0.8858085588451577,2.632732633764245,1,2,2,7,Bot,,,543807,13,7,L,R,TOR,NYY,71,5
